side,rate,name,aapor,I,P,R,NC,O,UH,UO,eUH,eUO,NE
NUM,RR1,Response Rate,TRUE,1,0,0,0,0,0,0,0,0,0
NUM,RR2,Response Rate,TRUE,1,1,0,0,0,0,0,0,0,0
NUM,RR3,Response Rate,TRUE,1,0,0,0,0,0,0,0,0,0
NUM,RR4,Response Rate,TRUE,1,1,0,0,0,0,0,0,0,0
NUM,RR5,Response Rate,TRUE,1,0,0,0,0,0,0,0,0,0
NUM,RR6,Response Rate,TRUE,1,1,0,0,0,0,0,0,0,0
NUM,COOP1,Cooperation Rate,TRUE,1,0,0,0,0,0,0,0,0,0
NUM,COOP2,Cooperation Rate,TRUE,1,1,0,0,0,0,0,0,0,0
NUM,COOP3,Cooperation Rate,TRUE,1,0,0,0,0,0,0,0,0,0
NUM,COOP4,Cooperation Rate,TRUE,1,1,0,0,0,0,0,0,0,0
NUM,REF1,Refusal Rate,TRUE,0,0,1,0,0,0,0,0,0,0
NUM,REF2,Refusal Rate,TRUE,0,0,1,0,0,0,0,0,0,0
NUM,REF3,Refusal Rate,TRUE,0,0,1,0,0,0,0,0,0,0
NUM,CON1,Contact Rate,TRUE,1,1,1,0,1,0,0,0,0,0
NUM,CON2,Contact Rate,TRUE,1,1,1,0,1,0,0,0,0,0
NUM,CON3,Contact Rate,TRUE,1,1,1,0,1,0,0,0,0,0
NUM,LOC1,Location Rate,TRUE,1,1,1,1,1,0,0,0,0,0
NUM,LOC2,Location Rate,TRUE,1,1,1,1,1,0,0,0,0,0
DEN,RR1,Response Rate,TRUE,1,1,1,1,1,1,1,0,0,0
DEN,RR2,Response Rate,TRUE,1,1,1,1,1,1,1,0,0,0
DEN,RR3,Response Rate,TRUE,1,1,1,1,1,0,0,1,1,0
DEN,RR4,Response Rate,TRUE,1,1,1,1,1,0,0,1,1,0
DEN,RR5,Response Rate,TRUE,1,1,1,1,1,0,0,0,0,0
DEN,RR6,Response Rate,TRUE,1,1,1,1,1,0,0,0,0,0
DEN,COOP1,Cooperation Rate,TRUE,1,1,1,0,1,0,0,0,0,0
DEN,COOP2,Cooperation Rate,TRUE,1,1,1,0,1,0,0,0,0,0
DEN,COOP3,Cooperation Rate,TRUE,1,1,1,0,0,0,0,0,0,0
DEN,COOP4,Cooperation Rate,TRUE,1,1,1,0,0,0,0,0,0,0
DEN,REF1,Refusal Rate,TRUE,1,1,1,1,1,1,1,0,0,0
DEN,REF2,Refusal Rate,TRUE,1,1,1,1,1,0,0,1,1,0
DEN,REF3,Refusal Rate,TRUE,1,1,1,1,1,0,0,0,0,0
DEN,CON1,Contact Rate,TRUE,1,1,1,1,1,1,1,0,0,0
DEN,CON2,Contact Rate,TRUE,1,1,1,1,1,0,0,1,1,0
DEN,CON3,Contact Rate,TRUE,1,1,1,1,1,0,0,0,0,0
DEN,LOC1,Location Rate,FALSE,1,1,1,1,1,1,1,0,0,0
DEN,LOC2,Location Rate,FALSE,1,1,1,1,1,0,0,1,1,0